url,predicted_category
https://pressureluckcooking.com/instant-pot-wholesale-club-pasta/,Producer
https://www.purveyd.com/products/cherry-tomato,Producer
https://wholesaleitalianfood.com/products/copy-of-l-oro-del-sud-whole-plum-tomatoes-w-basil-6-10-lbs,Retailer
https://italco.com/product/francesca-di-monte-semidried-cherry-tomatoes/,Producer
https://batafood.com/product/oven-semi-dried-yellow-cherry-tomatoes-frozen/,Retailer
https://www.wholesaleclub.ca/en/food/fruits-vegetables/fresh-vegetables/tomatoes-peppers/tomatoes/c/34502,B2B
https://sinofrost.en.made-in-china.com/product/QsextZLcZiVj/China-Leading-Bulk-Supplier-ISO-Brc-Halal-Certified-Exporter-of-IQF-Frozen-Cherry-Tomatoes-for-Wholesale-Distribution.html,Producer
https://pologroupcompany.com/wholesale-tomatoes/,Producer
https://www.restaurantdepot.com/,Producer
https://barfruitdelivery.co.uk/products/vine-cherry-tomato-box-3kg,Producer
https://wholefoodearth.com/,Retailer
https://www.kleankanteen.com/,Retailer
https://usetorg.com/category/tofu,B2B
https://www.webstaurantstore.com/62897/non-dairy-milk.html?filter=type:oat-milk,Retailer
https://www.baristaunderground.com/collections/non-dairy-milk/oat-milk,Retailer
https://wholesale.elmhurst1925.com/products/milked-oats,Retailer
https://privatelabelkombucha.com/,B2B
https://addjoi.com/products/instant-organic-oat-milk,Retailer
https://www.nessalla.com/,Retailer
https://www.montybooch.co.uk/pages/white-label-private-label-kombucha,Producer
https://www.drinkbuchi.com/blogs/buchi-life/united-in-fermentation-buchi-and-fedup-foods,Producer
https://portcitydaily.com/drinkeries/2024/05/06/asheville-based-kombucha-brewer-private-label-company-moves-into-tru-colors-facility/,Retailer
